timestamp,hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
2020-03-05 17:26:56,95,31,0,0.0,1.0,0.0,0.0,1.0,3.7737295465794447,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:27:08,96,31,0,0.0,1.0,0.0,0.0,1.0,3.732812822081096,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:27:50,96,31,0,0.0,1.0,0.0,0.0,1.0,3.6061723238106786,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:28:04,96,31,0,0.0,1.0,0.0,0.0,1.0,3.5618497411409997,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:28:45,94,29,0,0.0,1.0,0.0,0.0,1.0,3.445014245034133,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:29:01,96,31,0,0.0,1.0,0.0,0.0,1.0,3.415184321561294,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:29:55,96,31,0,0.0,1.0,0.0,0.0,1.0,3.3188584299199886,31.11111111111111,20.0,52,10,29.76
2020-03-05 17:30:05,95,30,0,0.0,1.0,0.0,0.0,1.0,3.291750700650649,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:30:53,96,32,0,0.0,1.0,0.0,0.0,1.0,3.151855174749313,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:31:06,95,30,0,0.0,1.0,0.0,0.0,1.0,3.1138695760056514,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:31:37,95,30,0,0.0,1.0,0.0,0.0,1.0,3.0349860036251832,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:32:00,95,30,0,0.0,1.0,0.0,0.0,1.0,2.975252067007834,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:32:44,97,31,0,0.0,1.0,0.0,0.0,1.0,2.8882466322001727,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:33:01,96,31,0,0.0,1.0,0.0,0.0,1.0,2.8512945412548887,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:33:35,96,31,0,0.0,1.0,0.0,0.0,1.0,2.8237357945384516,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:34:08,96,32,0,0.0,1.0,0.0,0.0,1.0,2.8097952690672936,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:34:31,96,30,0,0.0,1.0,0.0,0.0,1.0,2.7357616582059903,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:35:21,99,30,0,0.0,1.0,0.0,0.0,1.0,2.5855946083982393,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:35:42,99,31,0,0.0,1.0,0.0,0.0,1.0,2.5288295433708528,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:36:20,98,32,0,0.0,1.0,0.0,0.0,1.0,2.4397156657216725,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:36:59,97,31,0,0.0,1.0,0.0,0.0,1.0,2.4005835793350143,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:37:08,96,30,0,0.0,1.0,0.0,0.0,1.0,2.3984165399233475,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:37:36,95,32,0,0.0,1.0,0.0,0.0,1.0,2.3978992179661027,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:38:20,94,31,0,0.0,1.0,0.0,0.0,1.0,2.392105661621937,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:38:43,95,32,0,0.0,1.0,0.0,0.0,1.0,2.3898831869805486,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:39:03,95,32,0,0.0,1.0,0.0,0.0,1.0,2.3893187056503384,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:39:34,93,31,0,0.0,1.0,0.0,0.0,1.0,2.3509750742481668,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:40:20,99,32,0,0.0,1.0,0.0,0.0,1.0,2.280621035231266,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:40:59,99,32,0,0.0,1.0,0.0,0.0,1.0,2.2517294139129143,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:41:13,99,31,0,0.0,1.0,0.0,0.0,1.0,2.2225044982849904,30.0,21.11111111111111,58,8,29.76
2020-03-05 17:41:32,99,31,0,0.0,1.0,0.0,0.0,1.0,2.1849601314000155,30.0,21.11111111111111,58,8,29.76
2020-03-06 07:37:50,79,28,0,0.0,0.0,1.0,0.0,1.0,2.6970317631319127,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:38:20,79,30,0,0.0,0.0,1.0,0.0,1.0,2.6271625556347202,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:38:45,77,29,0,0.0,0.0,1.0,0.0,1.0,2.559006431028163,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:39:06,76,28,0,0.0,0.0,1.0,0.0,1.0,2.511987920965165,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:39:42,76,29,0,0.0,0.0,1.0,0.0,1.0,2.4359062649669694,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:40:07,79,29,0,0.0,0.0,1.0,0.0,1.0,2.3919349150691587,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:40:56,78,29,0,0.0,0.0,1.0,0.0,1.0,2.297458586227332,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:41:12,78,29,0,0.0,0.0,1.0,0.0,1.0,2.277693677525773,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:41:31,79,30,0,0.0,0.0,1.0,0.0,1.0,2.2678123421230016,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:42:04,79,30,0,0.0,0.0,1.0,0.0,1.0,2.262610168689537,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:42:56,79,30,0,0.0,0.0,1.0,0.0,1.0,2.2483553460605004,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:43:27,79,30,0,0.0,0.0,1.0,0.0,1.0,2.3107860399207967,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:43:38,79,29,0,0.0,0.0,1.0,0.0,1.0,2.346135126558988,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:44:08,79,29,0,0.0,0.0,1.0,0.0,1.0,2.4451174525187955,27.22222222222222,21.11111111111111,70,9,29.88
2020-03-06 07:44:58,79,29,0,0.0,0.0,1.0,0.0,1.0,2.5604577628306613,27.22222222222222,21.11111111111111,70,9,29.88
