hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
99,28,0,0.0,0.0,1.0,0.0,1.0,3.887404041576666
45,37,0,0.0,0.0,1.0,1.0,0.0,2.5494528589390755
73,40,0,1.0,0.0,0.0,1.0,0.0,3.867158999247293
86,29,0,0.0,0.0,1.0,0.0,1.0,3.893104976838965
99,30,0,0.0,0.0,1.0,0.0,1.0,2.8332183665014665
52,31,0,0.0,1.0,0.0,0.0,1.0,3.0846165646299863
84,30,0,0.0,1.0,0.0,0.0,1.0,5.070806266581042
73,30,0,0.0,0.0,1.0,0.0,1.0,3.3643039677622357
99,30,0,0.0,0.0,1.0,0.0,1.0,2.6204447640724102
75,38,0,1.0,0.0,0.0,1.0,0.0,4.295159987240316
57,40,0,1.0,0.0,0.0,1.0,0.0,4.804524033942054
70,28,0,0.0,0.0,1.0,0.0,1.0,3.8582912629278714
71,31,0,0.0,1.0,0.0,0.0,1.0,4.810103020631303
89,31,0,0.0,0.0,1.0,0.0,1.0,3.4270128832294766
86,29,0,0.0,0.0,1.0,0.0,1.0,3.962350815993324
88,31,0,0.0,0.0,1.0,0.0,1.0,2.267823000772712
99,29,0,0.0,0.0,1.0,0.0,1.0,3.4977251532808973
69,29,0,0.0,0.0,1.0,0.0,1.0,3.9991317298604585
62,32,0,0.0,1.0,0.0,0.0,1.0,2.9099387791264064
99,27,0,0.0,0.0,1.0,0.0,1.0,4.845778041473698
96,30,0,0.0,1.0,0.0,0.0,1.0,3.4075784332227097
33,40,0,1.0,0.0,0.0,1.0,0.0,2.4230184362840763
74,30,0,0.0,1.0,0.0,0.0,1.0,2.3341033635438597
79,29,0,0.0,0.0,1.0,0.0,1.0,2.7794099340360567
61,42,0,1.0,0.0,0.0,1.0,0.0,2.5496459816357038
99,28,0,0.0,0.0,1.0,0.0,1.0,3.486231280456796
61,38,0,1.0,0.0,0.0,1.0,0.0,2.7121584622105264
