greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,uv,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
1,1,5,5,2,2,4,2,68.0,33,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.2389288226766775,32.22222222222222,25.0,66,6,29.73
2,2,3,3,4,4,2,4,69.0,32,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.552040945996955,28.88888888888889,25.0,79,8,29.7
3,4,3,2,4,3,2,4,67.0,33,24.0,0.0,0.0,0.0,1.0,0.0,1.0,6.839106347704238,28.88888888888889,25.0,79,3,29.79
4,4,4,3,2,3,2,2,65.0,33,70.0,0.0,0.0,0.0,1.0,1.0,0.0,5.426007846161947,32.77777777777778,23.88888888888889,59,7,29.7
4,5,4,4,4,4,4,3,71.0,32,2.0,0.0,0.0,0.0,1.0,0.0,1.0,5.4847783279775895,30.0,25.0,74,1,29.73
3,3,3,3,3,3,3,3,52.0,36,63.0,1.0,0.0,0.0,0.0,1.0,0.0,6.329938425391897,32.22222222222222,23.88888888888889,62,2,29.7
3,4,3,4,3,2,4,2,59.0,36,32.0,1.0,0.0,0.0,0.0,1.0,0.0,6.6550920341624495,32.22222222222222,23.88888888888889,62,8,29.7
2,2,1,1,4,4,2,4,67.0,32,0.0,1.0,0.0,0.0,0.0,1.0,0.0,7.139657270612567,32.77777777777778,23.88888888888889,59,2,29.67
4,3,2,2,5,5,1,1,57.0,35,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.4049993317013305,27.77777777777778,26.11111111111111,89,9,29.64
3,2,4,4,3,2,4,2,72.0,30,29.0,0.0,0.0,0.0,1.0,0.0,1.0,6.277053548289202,27.22222222222222,23.88888888888889,84,1,29.73
3,3,1,1,4,4,1,5,75.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.565917207288112,28.88888888888889,26.11111111111111,84,1,29.73
2,3,5,5,2,2,4,2,49.0,37,68.0,1.0,0.0,0.0,0.0,1.0,0.0,5.7365276080147565,27.77777777777778,26.11111111111111,89,8,29.73
2,3,5,4,2,2,3,3,50.0,37,89.0,0.0,0.0,1.0,0.0,0.0,1.0,7.119862853459918,27.77777777777778,23.88888888888889,79,1,29.7
3,5,2,3,3,4,2,3,60.0,34,22.0,0.0,0.0,1.0,0.0,0.0,1.0,8.337340004835507,31.11111111111111,25.0,70,7,29.64
4,4,3,3,3,3,3,3,70.0,33,32.0,0.0,0.0,0.0,1.0,0.0,1.0,5.9525647790162015,30.0,26.11111111111111,79,0,29.73
4,4,3,3,4,4,2,3,69.0,32,373.0,0.0,0.0,0.0,1.0,0.0,1.0,6.545423101043606,30.0,25.0,74,1,29.73
1,1,1,1,4,5,1,5,49.0,37,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.426119487345481,27.77777777777778,26.11111111111111,89,8,29.73
4,3,3,4,4,3,2,4,61.0,34,32.0,0.0,0.0,0.0,1.0,1.0,0.0,5.553840661158085,30.0,25.0,74,9,29.7
3,3,3,3,3,3,3,3,59.0,34,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.499195541904343,31.11111111111111,25.0,70,0,29.61
4,4,3,2,4,4,2,4,68.0,33,49.0,0.0,0.0,0.0,1.0,0.0,1.0,6.847759654739512,28.88888888888889,23.88888888888889,74,6,29.79
1,3,3,4,3,3,4,2,77.0,30,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.618066750677892,27.77777777777778,25.0,84,6,29.73
3,4,2,1,2,2,3,3,70.0,33,14.0,0.0,0.0,0.0,1.0,0.0,1.0,5.57215214590661,28.88888888888889,26.11111111111111,84,12,29.7
3,3,1,1,4,4,1,5,64.0,34,5.0,0.0,0.0,0.0,1.0,0.0,1.0,6.456066599913491,30.0,26.11111111111111,79,2,29.73
5,5,2,1,5,5,1,5,60.0,34,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.254840915406108,27.77777777777778,26.11111111111111,89,1,29.73
4,3,2,2,4,4,2,4,73.0,32,6.0,0.0,0.0,0.0,1.0,0.0,1.0,3.354464839440819,28.88888888888889,26.11111111111111,84,12,29.7
3,3,2,2,3,3,2,4,73.0,32,8.0,1.0,0.0,0.0,0.0,1.0,0.0,8.035452036832472,32.77777777777778,23.88888888888889,59,6,29.73
2,2,1,1,5,5,1,5,75.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.565917207288112,28.88888888888889,26.11111111111111,84,1,29.73
3,3,3,3,3,3,3,3,89.0,28,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.290502987116332,30.0,26.11111111111111,79,6,29.73
2,2,4,4,2,2,3,3,78.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.23432907639552,27.77777777777778,26.11111111111111,89,5,29.7
4,4,3,3,2,3,3,3,81.0,31,2.0,0.0,0.0,0.0,1.0,1.0,0.0,6.753923299705072,31.11111111111111,25.0,70,1,29.73
3,2,3,4,3,2,2,3,56.0,33,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.3562085104834,32.22222222222222,25.0,66,6,29.7
4,2,5,5,2,1,4,1,58.0,35,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.423254363603824,31.11111111111111,25.0,70,10,29.67
2,5,2,3,4,4,3,2,61.0,33,124.0,0.0,0.0,0.0,1.0,0.0,1.0,5.5697145867793845,27.77777777777778,25.0,84,2,29.7
3,3,2,2,4,3,1,3,51.0,37,536.0,1.0,0.0,0.0,0.0,1.0,0.0,6.426916396226491,32.77777777777778,25.0,63,7,29.64
2,3,3,3,1,2,4,1,63.0,34,26.0,0.0,0.0,0.0,1.0,0.0,1.0,7.195639229762362,31.11111111111111,26.11111111111111,75,10,29.7
3,3,4,4,2,3,2,3,89.0,28,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.061095896921059,28.88888888888889,26.11111111111111,84,0,29.73
1,1,3,3,3,3,3,3,75.0,31,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.500711276745419,30.0,26.11111111111111,79,5,29.76
1,4,4,4,1,1,4,1,58.0,34,431.0,0.0,0.0,1.0,0.0,0.0,1.0,5.5342563405919885,31.11111111111111,25.0,70,2,29.61
3,3,4,3,2,2,2,2,89.0,28,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7.061095896921059,28.88888888888889,26.11111111111111,84,0,29.73
3,2,4,4,2,1,4,1,63.0,35,160.0,0.0,0.0,1.0,0.0,0.0,1.0,5.577046400539039,31.11111111111111,25.0,70,10,29.67
4,4,4,3,5,5,3,5,77.0,30,22.0,0.0,0.0,0.0,1.0,0.0,1.0,6.43014434324121,27.77777777777778,26.11111111111111,89,1,29.73
2,2,4,3,2,1,3,2,61.0,34,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.30072547608243,32.77777777777778,23.88888888888889,59,6,29.73
