timestamp,hum,tem,uv,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
2020-02-28 08:56:17,73,32,0,0.0,0.0,1.0,0.0,1.0,2.3146206248371497
2020-02-28 08:56:40,74,31,0,0.0,0.0,1.0,0.0,1.0,2.2835256063611205
2020-02-28 08:57:20,75,32,0,0.0,0.0,1.0,0.0,1.0,2.2496871020412215
2020-02-28 08:57:32,73,31,0,0.0,0.0,1.0,0.0,1.0,2.2400445844982793
2020-02-28 08:58:13,70,31,0,0.0,0.0,1.0,0.0,1.0,2.20497994195578
2020-02-28 08:58:31,69,32,0,0.0,0.0,1.0,0.0,1.0,2.1777260565264602
2020-02-28 12:17:41,65,34,0,1.0,0.0,0.0,1.0,0.0,2.19226739010802
2020-02-28 12:18:04,63,34,0,1.0,0.0,0.0,1.0,0.0,2.2088147664174818
2020-02-28 12:18:54,60,34,0,1.0,0.0,0.0,1.0,0.0,2.2437747527558805
2020-02-28 12:19:26,60,36,0,1.0,0.0,0.0,1.0,0.0,2.311825895980572
2020-02-28 12:19:33,60,35,0,1.0,0.0,0.0,1.0,0.0,2.330384741129424
2020-02-28 12:20:14,70,36,0,1.0,0.0,0.0,1.0,0.0,2.447502408869244
2020-02-28 12:20:54,67,36,0,1.0,0.0,0.0,1.0,0.0,2.566117185892227
2020-02-28 12:21:21,67,35,0,1.0,0.0,0.0,1.0,0.0,2.578383104689181
2020-02-28 12:21:49,72,36,0,1.0,0.0,0.0,1.0,0.0,2.5788716213304084
2020-02-28 12:22:05,82,35,0,1.0,0.0,0.0,1.0,0.0,2.578590577974053
2020-02-28 12:22:44,83,35,0,1.0,0.0,0.0,1.0,0.0,2.5784421960458017
2020-02-28 12:23:29,72,35,0,1.0,0.0,0.0,1.0,0.0,2.6137813736164808
2020-02-28 12:23:41,68,36,0,1.0,0.0,0.0,1.0,0.0,2.6389018808733877
2020-02-28 12:24:09,55,35,0,1.0,0.0,0.0,1.0,0.0,2.7204585692227057
2020-02-28 12:24:52,71,35,0,1.0,0.0,0.0,1.0,0.0,2.8897281441581066
2020-02-28 12:25:13,67,36,0,1.0,0.0,0.0,1.0,0.0,2.9673253538805873
2020-02-28 12:25:34,69,36,0,1.0,0.0,0.0,1.0,0.0,3.0422620916528507
2020-02-28 12:26:04,60,35,0,1.0,0.0,0.0,1.0,0.0,3.0835284897862643
2020-02-28 12:26:53,59,35,0,1.0,0.0,0.0,1.0,0.0,3.090094595533859
2020-02-28 12:27:09,61,35,0,1.0,0.0,0.0,1.0,0.0,3.1035977536111483
2020-02-28 12:27:35,60,37,0,1.0,0.0,0.0,1.0,0.0,3.1953395680493086
2020-02-28 12:28:00,77,37,0,1.0,0.0,0.0,1.0,0.0,3.282591865380611
2020-02-28 12:28:39,66,36,0,1.0,0.0,0.0,1.0,0.0,3.414380403566742
2020-02-28 12:29:09,66,37,0,1.0,0.0,0.0,1.0,0.0,3.5211097499251274
2020-02-28 12:29:49,63,36,0,1.0,0.0,0.0,1.0,0.0,3.611356574495015
2020-02-28 12:30:14,60,36,0,1.0,0.0,0.0,1.0,0.0,3.613370641537954
2020-02-28 12:30:35,62,37,0,1.0,0.0,0.0,1.0,0.0,3.6136185023214327
2020-02-28 12:31:15,58,36,0,1.0,0.0,0.0,1.0,0.0,3.614810566927014
2020-02-28 12:31:31,58,37,0,1.0,0.0,0.0,1.0,0.0,3.621352810962768
2020-02-28 12:32:12,66,36,0,1.0,0.0,0.0,1.0,0.0,3.7754381154731753
2020-02-28 12:32:30,81,37,0,1.0,0.0,0.0,1.0,0.0,3.85138260517875
2020-02-28 12:33:07,81,37,0,1.0,0.0,0.0,1.0,0.0,3.9867734265692305
2020-02-28 12:33:38,78,36,0,1.0,0.0,0.0,1.0,0.0,4.279942430830981
2020-02-28 12:34:13,76,37,0,1.0,0.0,0.0,1.0,0.0,4.395029577062714
2020-02-28 12:34:53,70,36,0,1.0,0.0,0.0,1.0,0.0,4.451815454633865
2020-02-28 12:35:23,68,36,0,1.0,0.0,0.0,1.0,0.0,4.527489936539831
2020-02-28 12:35:30,73,36,0,1.0,0.0,0.0,1.0,0.0,4.546850962462943
2020-02-28 12:36:16,68,36,0,1.0,0.0,0.0,1.0,0.0,4.693914473789006
2020-02-28 12:37:22,68,36,0,1.0,0.0,0.0,1.0,0.0,4.70279363133271
2020-02-28 12:37:47,71,36,0,1.0,0.0,0.0,1.0,0.0,4.765654457655643
2020-02-28 12:38:23,66,36,0,1.0,0.0,0.0,1.0,0.0,4.871044332694755
2020-02-28 12:38:33,64,35,0,1.0,0.0,0.0,1.0,0.0,4.88521160557577
2020-02-28 12:39:10,68,36,0,1.0,0.0,0.0,1.0,0.0,4.836403608412582
2020-02-28 12:39:56,70,35,0,1.0,0.0,0.0,1.0,0.0,4.805331935594955
2020-02-28 12:40:14,70,34,0,1.0,0.0,0.0,1.0,0.0,4.805804177686826
2020-02-28 12:40:45,72,35,0,1.0,0.0,0.0,1.0,0.0,4.807058119743243
2020-02-28 12:41:20,64,36,0,1.0,0.0,0.0,1.0,0.0,4.8366814628895005
