hum,tem,uv,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Late Night,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
71.0,32,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.081183340420724,27.77777777777778,26.11111111111111,89,5,29.7
56.0,35,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.420756470803548,32.22222222222222,25.0,66,14,29.55
67.0,31,15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.622063973539794,27.77777777777778,25.0,84,2,29.7
60.0,34,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.340705521271077,31.11111111111111,25.0,70,0,29.61
67.0,33,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.340994397142353,32.22222222222222,23.88888888888889,62,6,29.64
63.0,34,24,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.442937414674993,28.88888888888889,23.88888888888889,74,6,29.79
73.0,32,12,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.139888011407073,30.0,26.11111111111111,79,5,29.76
73.0,31,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.661533361743008,28.88888888888889,26.11111111111111,84,5,29.76
58.0,35,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.687023496176617,31.11111111111111,25.0,70,10,29.67
70.0,32,535,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0280208834091225,27.77777777777778,25.0,84,1,29.73
61.0,34,29,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.9951177546639745,32.22222222222222,25.0,66,6,29.73
56.0,35,58,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.534564397185257,32.22222222222222,23.88888888888889,62,3,29.73
74.0,30,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.666476254337372,26.11111111111111,25.0,94,3,29.73
51.0,37,44,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.820962596540276,32.77777777777778,23.88888888888889,59,3,29.7
53.0,37,36,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.19068198792662,32.22222222222222,23.88888888888889,62,8,29.7
73.0,32,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.546416534765536,27.77777777777778,26.11111111111111,89,9,29.64
66.0,34,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.999015457164875,31.11111111111111,25.0,70,8,29.67
72.0,32,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.293070247931936,27.22222222222222,26.11111111111111,94,2,29.7
