o3_8,o3,pm10,pm25,co,so2,so2_24,no2,aqi,aqi_rank
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153284,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153284,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153284,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153284,3
0,0.0,76.0,148.0,4.0,25.0,0,9.0,193.15328467153284,3
0,0.0,62.0,120.0,4.0,24.0,0,8.0,178.84671532846716,3
0,0.0,66.0,128.0,4.0,21.0,0,9.0,182.93430656934305,3
0,0.0,64.0,128.0,4.0,28.0,0,10.0,182.93430656934305,3
0,0.0,62.0,124.0,5.0,26.0,0,9.0,180.8905109489051,3
0,0.0,60.0,120.0,4.0,21.0,0,9.0,178.84671532846716,3
0,0.0,60.0,124.0,3.0,15.0,0,10.0,180.8905109489051,3
0,0.0,58.0,120.0,4.0,22.0,0,10.0,178.84671532846716,3
0,0.0,56.0,112.0,3.0,17.0,0,10.0,174.75912408759123,3
0,0.0,56.0,116.0,5.0,27.0,0,9.0,176.8029197080292,3
0,0.0,58.0,120.0,5.0,22.0,0,10.0,178.84671532846716,3
0,0.0,56.0,120.0,5.0,24.0,0,10.0,178.84671532846716,3
0,0.0,56.0,116.0,5.0,18.0,0,10.0,176.8029197080292,3
0,0.0,56.0,116.0,4.0,16.0,0,10.0,176.8029197080292,3
0,0.0,56.0,116.0,5.0,20.0,0,10.0,176.8029197080292,3
0,0.0,50.0,108.0,5.0,20.0,0,10.0,172.71532846715328,3
0,0.0,52.0,104.0,4.0,18.0,0,10.0,170.67153284671534,3
0,0.0,54.0,112.0,5.0,20.0,0,10.0,174.75912408759123,3
0,0.0,56.0,112.0,5.0,26.0,0,10.0,174.75912408759123,3
0,0.0,58.0,116.0,5.0,24.0,0,10.0,176.8029197080292,3
0,0.0,62.0,124.0,5.0,25.0,0,10.0,180.8905109489051,3
0,0.0,62.0,124.0,4.0,20.0,0,10.0,180.8905109489051,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,70.0,136.0,4.0,16.0,0,9.0,187.02189781021897,3
0,0.0,40.0,52.0,6.0,27.0,0,7.0,130.8148148148148,2
0,0.0,42.0,64.0,6.0,24.0,0,7.0,150.23357664233578,3
0,0.0,54.0,108.0,7.0,27.0,0,8.0,172.71532846715328,3
0,0.0,66.0,128.0,5.0,21.0,0,8.0,182.93430656934305,3
0,0.0,62.0,124.0,5.0,19.0,0,8.0,180.8905109489051,3
0,0.0,62.0,124.0,5.0,20.0,0,8.0,180.8905109489051,3
0,0.0,62.0,124.0,5.0,20.0,0,8.0,180.8905109489051,3
0,0.0,62.0,124.0,5.0,23.0,0,8.0,180.8905109489051,3
0,0.0,62.0,120.0,5.0,21.0,0,9.0,178.84671532846716,3
0,0.0,64.0,124.0,6.0,24.0,0,9.0,180.8905109489051,3
0,0.0,58.0,116.0,6.0,25.0,0,9.0,176.8029197080292,3
0,0.0,62.0,124.0,5.0,23.0,0,9.0,180.8905109489051,3
0,0.0,54.0,116.0,5.0,23.0,0,9.0,176.8029197080292,3
0,0.0,64.0,128.0,3.0,18.0,0,8.0,182.93430656934305,3
0,0.0,70.0,136.0,3.0,16.0,0,8.0,187.02189781021897,3
0,0.0,68.0,132.0,3.0,14.0,0,8.0,184.97810218978103,3
0,0.0,62.0,124.0,3.0,16.0,0,8.0,180.8905109489051,3
0,0.0,64.0,128.0,4.0,15.0,0,8.0,182.93430656934305,3
0,0.0,58.0,116.0,4.0,14.0,0,8.0,176.8029197080292,3
0,0.0,56.0,112.0,5.0,18.0,0,9.0,174.75912408759123,3
0,0.0,44.0,88.0,4.0,18.0,0,9.0,162.4963503649635,3
0,0.0,44.0,88.0,4.0,15.0,0,8.0,162.4963503649635,3
0,0.0,66.0,128.0,3.0,15.0,0,8.0,182.93430656934305,3
0,0.0,50.0,104.0,4.0,20.0,0,9.0,170.67153284671534,3
0,0.0,58.0,112.0,4.0,18.0,0,9.0,174.75912408759123,3
