greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,num_people,num_motorcycles,num_cars,rms_contrast
2,2,4,4,2,2,2,2,89.0,28,0.0,0.0,0.0,1.0,0.0,1.0,8.290502987116332,5,5,1,64.28793358322804
1,1,5,5,2,2,4,2,68.0,33,0.0,0.0,0.0,1.0,1.0,0.0,7.2389288226766775,4,0,2,68.94060905731652
2,2,3,3,4,4,2,4,69.0,32,0.0,0.0,0.0,1.0,0.0,1.0,5.552040945996955,8,7,1,70.0761280237971
3,4,3,2,4,3,2,4,67.0,33,0.0,0.0,0.0,1.0,0.0,1.0,6.839106347704238,0,0,0,68.58596561346275
4,4,4,3,2,3,2,2,65.0,33,0.0,0.0,0.0,1.0,1.0,0.0,5.426007846161947,4,4,1,71.05069732529817
4,5,4,4,4,4,4,3,71.0,32,0.0,0.0,0.0,1.0,0.0,1.0,5.4847783279775895,5,5,3,65.94850753347653
3,3,3,3,3,3,3,3,52.0,36,1.0,0.0,0.0,0.0,1.0,0.0,6.329938425391897,0,0,2,85.41725693675781
3,4,3,4,3,2,4,2,59.0,36,1.0,0.0,0.0,0.0,1.0,0.0,6.6550920341624495,1,0,0,70.69660863904569
2,2,1,1,4,4,2,4,67.0,32,1.0,0.0,0.0,0.0,1.0,0.0,7.139657270612567,2,0,2,56.164202081440756
4,3,2,2,5,5,1,1,57.0,35,0.0,0.0,0.0,1.0,0.0,1.0,6.4049993317013305,0,0,0,52.74619503126047
3,2,4,4,3,2,4,2,72.0,30,0.0,0.0,0.0,1.0,0.0,1.0,6.277053548289202,1,0,0,88.45207215204199
3,3,1,1,4,4,1,5,75.0,31,0.0,0.0,0.0,1.0,0.0,1.0,5.565917207288112,1,0,3,71.52577125908013
2,3,5,5,2,2,4,2,49.0,37,1.0,0.0,0.0,0.0,1.0,0.0,5.7365276080147565,9,9,4,58.003709849689216
2,3,5,4,2,2,3,3,50.0,37,0.0,0.0,1.0,0.0,0.0,1.0,7.119862853459918,8,7,2,73.3364831371941
3,5,2,3,3,4,2,3,60.0,34,0.0,0.0,1.0,0.0,0.0,1.0,8.337340004835507,4,5,2,73.87217896724397
4,4,3,3,3,3,3,3,70.0,33,0.0,0.0,0.0,1.0,0.0,1.0,5.9525647790162015,9,5,1,68.55309566025275
4,4,3,3,4,4,2,3,69.0,32,0.0,0.0,0.0,1.0,0.0,1.0,6.545423101043606,5,4,3,69.79791894893968
1,1,1,1,4,5,1,5,49.0,37,1.0,0.0,0.0,0.0,1.0,0.0,6.426119487345481,1,1,2,55.465730672464474
4,3,3,4,4,3,2,4,61.0,34,0.0,0.0,0.0,1.0,1.0,0.0,5.553840661158085,0,0,0,67.12753291104559
3,3,3,3,3,3,3,3,59.0,34,0.0,0.0,1.0,0.0,0.0,1.0,5.499195541904343,4,2,2,68.65264529324229
4,4,3,2,4,4,2,4,68.0,33,0.0,0.0,0.0,1.0,0.0,1.0,6.847759654739512,0,0,0,72.52407978517782
